City,Time,Temperature,Humidity,Wind Speed
Paris,2020-01-01 00:00:00,2.6,98,3.7
Paris,2020-01-01 01:00:00,2.1,100,3.8
Paris,2020-01-01 02:00:00,1.9,100,4.9
Paris,2020-01-01 03:00:00,2.2,98,7.3
Paris,2020-01-01 04:00:00,2.0,99,8.0
Paris,2020-01-01 05:00:00,2.2,99,6.5
Paris,2020-01-01 06:00:00,2.3,100,6.1
Paris,2020-01-01 07:00:00,2.3,100,7.4
Paris,2020-01-01 08:00:00,2.2,99,9.2
Paris,2020-01-01 09:00:00,2.4,99,9.6
Paris,2020-01-01 10:00:00,2.7,98,10.8
Paris,2020-01-01 11:00:00,3.3,96,11.7
Paris,2020-01-01 12:00:00,3.4,94,8.2
Paris,2020-01-01 13:00:00,3.8,94,8.7
Paris,2020-01-01 14:00:00,4.2,94,9.4
Paris,2020-01-01 15:00:00,4.3,95,10.2
Paris,2020-01-01 16:00:00,4.3,96,10.1
Paris,2020-01-01 17:00:00,4.3,96,9.6
Paris,2020-01-01 18:00:00,4.5,97,9.7
Paris,2020-01-01 19:00:00,4.8,97,9.4
Paris,2020-01-01 20:00:00,5.1,97,9.2
Paris,2020-01-01 21:00:00,5.4,98,9.2
Paris,2020-01-01 22:00:00,5.6,98,9.6
Paris,2020-01-01 23:00:00,5.8,98,10.4
Paris,2020-01-02 00:00:00,5.2,98,7.4
Paris,2020-01-02 01:00:00,5.2,98,7.1
Paris,2020-01-02 02:00:00,5.5,98,7.9
Paris,2020-01-02 03:00:00,5.7,98,8.4
Paris,2020-01-02 04:00:00,5.9,98,8.1
Paris,2020-01-02 05:00:00,6.0,98,6.4
Paris,2020-01-02 06:00:00,6.1,98,7.6
Paris,2020-01-02 07:00:00,6.4,97,9.2
Paris,2020-01-02 08:00:00,6.5,97,9.7
Paris,2020-01-02 09:00:00,7.1,94,10.5
Paris,2020-01-02 10:00:00,7.7,92,10.2
Paris,2020-01-02 11:00:00,8.3,90,12.5
Paris,2020-01-02 12:00:00,9.1,88,12.2
Paris,2020-01-02 13:00:00,9.3,90,12.4
Paris,2020-01-02 14:00:00,9.1,91,12.8
Paris,2020-01-02 15:00:00,8.7,94,13.5
Paris,2020-01-02 16:00:00,8.7,94,12.6
Paris,2020-01-02 17:00:00,8.6,94,14.0
Paris,2020-01-02 18:00:00,8.2,93,14.0
Paris,2020-01-02 19:00:00,8.4,94,14.8
Paris,2020-01-02 20:00:00,9.0,94,17.7
Paris,2020-01-02 21:00:00,9.0,93,18.0
Paris,2020-01-02 22:00:00,9.0,92,19.9
Paris,2020-01-02 23:00:00,9.0,90,20.6
Paris,2020-01-03 00:00:00,9.0,89,16.9
Paris,2020-01-03 01:00:00,8.6,90,17.1
Paris,2020-01-03 02:00:00,8.3,91,18.7
Paris,2020-01-03 03:00:00,8.5,91,20.9
Paris,2020-01-03 04:00:00,8.6,91,22.3
Paris,2020-01-03 05:00:00,8.8,91,24.0
Paris,2020-01-03 06:00:00,9.3,90,25.2
Paris,2020-01-03 07:00:00,9.7,89,24.4
Paris,2020-01-03 08:00:00,9.9,90,22.2
Paris,2020-01-03 09:00:00,10.5,90,19.9
Paris,2020-01-03 10:00:00,11.0,87,22.1
Paris,2020-01-03 11:00:00,11.4,85,21.8
Paris,2020-01-03 12:00:00,11.5,84,22.0
Paris,2020-01-03 13:00:00,11.1,84,21.4
Paris,2020-01-03 14:00:00,10.9,83,18.6
Paris,2020-01-03 15:00:00,10.9,83,18.8
Paris,2020-01-03 16:00:00,10.8,85,18.3
Paris,2020-01-03 17:00:00,10.7,86,18.0
Paris,2020-01-03 18:00:00,10.6,86,17.0
Paris,2020-01-03 19:00:00,9.9,92,17.8
Paris,2020-01-03 20:00:00,9.1,91,17.8
Paris,2020-01-03 21:00:00,8.6,91,14.3
Paris,2020-01-03 22:00:00,8.1,92,12.8
Paris,2020-01-03 23:00:00,7.8,91,14.2
Paris,2020-01-04 00:00:00,7.4,89,11.5
Paris,2020-01-04 01:00:00,6.8,88,11.5
Paris,2020-01-04 02:00:00,5.3,91,10.0
Paris,2020-01-04 03:00:00,3.8,94,7.2
Paris,2020-01-04 04:00:00,3.3,93,8.6
Paris,2020-01-04 05:00:00,3.2,93,8.3
Paris,2020-01-04 06:00:00,3.5,92,10.1
Paris,2020-01-04 07:00:00,3.4,91,10.5
Paris,2020-01-04 08:00:00,3.1,91,11.2
Paris,2020-01-04 09:00:00,4.5,88,13.7
Paris,2020-01-04 10:00:00,6.2,85,14.0
Paris,2020-01-04 11:00:00,7.6,81,14.4
Paris,2020-01-04 12:00:00,8.1,80,14.1
Paris,2020-01-04 13:00:00,8.7,75,16.1
Paris,2020-01-04 14:00:00,8.6,75,14.6
Paris,2020-01-04 15:00:00,8.4,77,12.5
Paris,2020-01-04 16:00:00,7.9,80,11.6
Paris,2020-01-04 17:00:00,7.5,82,13.7
Paris,2020-01-04 18:00:00,7.8,82,13.8
Paris,2020-01-04 19:00:00,6.6,90,9.8
Paris,2020-01-04 20:00:00,6.9,89,10.2
Paris,2020-01-04 21:00:00,6.7,91,9.2
Paris,2020-01-04 22:00:00,6.6,92,8.6
Paris,2020-01-04 23:00:00,6.0,95,7.3
Paris,2020-01-05 00:00:00,5.9,94,6.7
Paris,2020-01-05 01:00:00,5.9,95,6.5
Paris,2020-01-05 02:00:00,5.4,96,5.5
Paris,2020-01-05 03:00:00,4.9,97,5.1
Paris,2020-01-05 04:00:00,4.1,98,7.2
Paris,2020-01-05 05:00:00,4.5,97,6.1
Paris,2020-01-05 06:00:00,4.8,97,5.6
Paris,2020-01-05 07:00:00,4.8,97,4.7
Paris,2020-01-05 08:00:00,4.5,97,4.3
Paris,2020-01-05 09:00:00,5.7,94,5.2
Paris,2020-01-05 10:00:00,6.7,91,3.6
Paris,2020-01-05 11:00:00,7.9,87,2.8
Paris,2020-01-05 12:00:00,8.3,82,2.3
Paris,2020-01-05 13:00:00,8.9,76,1.5
Paris,2020-01-05 14:00:00,8.9,71,2.2
Paris,2020-01-05 15:00:00,8.4,78,2.9
Paris,2020-01-05 16:00:00,5.8,91,6.1
Paris,2020-01-05 17:00:00,5.4,95,6.8
Paris,2020-01-05 18:00:00,4.6,96,5.9
Paris,2020-01-05 19:00:00,3.9,96,5.4
Paris,2020-01-05 20:00:00,3.2,97,5.4
Paris,2020-01-05 21:00:00,3.2,95,6.8
Paris,2020-01-05 22:00:00,2.7,95,7.3
Paris,2020-01-05 23:00:00,1.9,96,7.2
Paris,2020-01-06 00:00:00,1.6,96,7.0
Paris,2020-01-06 01:00:00,1.4,95,7.3
Paris,2020-01-06 02:00:00,0.7,95,6.3
Paris,2020-01-06 03:00:00,-0.2,96,6.4
Paris,2020-01-06 04:00:00,-0.1,97,6.3
Paris,2020-01-06 05:00:00,0.0,100,8.3
Paris,2020-01-06 06:00:00,0.1,100,9.5
Paris,2020-01-06 07:00:00,0.4,100,10.4
Paris,2020-01-06 08:00:00,0.6,99,11.9
Paris,2020-01-06 09:00:00,1.1,98,13.4
Paris,2020-01-06 10:00:00,2.2,91,15.4
Paris,2020-01-06 11:00:00,3.8,84,14.8
Paris,2020-01-06 12:00:00,6.4,74,14.2
Paris,2020-01-06 13:00:00,7.5,71,16.2
Paris,2020-01-06 14:00:00,8.1,72,16.2
Paris,2020-01-06 15:00:00,7.8,75,15.3
Paris,2020-01-06 16:00:00,6.3,81,14.3
Paris,2020-01-06 17:00:00,5.4,85,15.9
Paris,2020-01-06 18:00:00,5.0,86,17.1
Paris,2020-01-06 19:00:00,5.8,86,17.1
Paris,2020-01-06 20:00:00,6.3,88,16.3
Paris,2020-01-06 21:00:00,7.1,90,16.3
Paris,2020-01-06 22:00:00,8.1,90,18.7
Paris,2020-01-06 23:00:00,8.7,90,18.4
Paris,2020-01-07 00:00:00,7.9,89,17.2
Paris,2020-01-07 01:00:00,7.7,90,15.3
Paris,2020-01-07 02:00:00,7.4,91,15.2
Paris,2020-01-07 03:00:00,7.1,92,13.0
Paris,2020-01-07 04:00:00,6.6,93,10.5
Paris,2020-01-07 05:00:00,6.0,93,9.6
Paris,2020-01-07 06:00:00,5.4,95,9.3
Paris,2020-01-07 07:00:00,6.0,94,8.5
Paris,2020-01-07 08:00:00,5.2,96,9.5
Paris,2020-01-07 09:00:00,6.7,95,11.6
Paris,2020-01-07 10:00:00,8.1,93,12.7
Paris,2020-01-07 11:00:00,8.8,91,12.1
Paris,2020-01-07 12:00:00,8.3,92,11.9
Paris,2020-01-07 13:00:00,9.2,86,12.6
Paris,2020-01-07 14:00:00,10.1,81,15.3
Paris,2020-01-07 15:00:00,9.9,85,13.9
Paris,2020-01-07 16:00:00,9.3,90,11.4
Paris,2020-01-07 17:00:00,9.1,93,11.9
Paris,2020-01-07 18:00:00,8.9,96,13.0
Paris,2020-01-07 19:00:00,9.3,95,14.7
Paris,2020-01-07 20:00:00,9.6,96,14.1
Paris,2020-01-07 21:00:00,9.8,96,13.4
Paris,2020-01-07 22:00:00,10.2,96,12.4
Paris,2020-01-07 23:00:00,10.6,96,12.4
Paris,2020-01-08 00:00:00,10.4,96,14.2
Paris,2020-01-08 01:00:00,10.7,96,15.7
Paris,2020-01-08 02:00:00,11.1,96,17.3
Paris,2020-01-08 03:00:00,11.3,95,18.2
